,location,coordinate,,,,
80,"5E, Eggertstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 NN, Nederland","(52.3739888, 4.8925505)",,,,
81,"3B-16, Ottho Heldringstraat, Westlandgracht, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1066 AZ, Nederland","(52.3509016, 4.8329273)",,,,
82,"67T, Jacob Obrechtstraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 KJ, Nederland","(52.3542218, 4.8770348)",,,,
83,"115, Kerkstraat, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 GE, Nederland","(52.3641445, 4.8876236)",,,,
84,"1, Madelievenstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 NV, Nederland","(52.3769916, 4.8800332)",,,,
85,"SKAAP, 13, Bloemendalergouw, Noord, Ransdorp, Amsterdam, Noord-Holland, Nederland, 1028 BH, Nederland","(52.3963947, 4.9962126)",,,,
86,"Den Texstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 XZ, Nederland","(52.359168499999996, 4.89394541436754)",,,,
87,"63-1, Schinkelkade, Schinkelbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1075 VM, Nederland","(52.3501951, 4.8525558)",,,,
88,"10, Anjeliersstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 NH, Nederland","(52.3783187, 4.8856428)",,,,
89,"26-H, Sanderijnstraat, Erasmuspark, West, Amsterdam, Noord-Holland, Nederland, 1055 BT, Nederland","(52.3773307, 4.8508782)",,,,
90,"30, Van Diemenkade, West, Amsterdam, Noord-Holland, Nederland, 1013 CR, Nederland","(52.39113555, 4.888623947280317)",,,,
91,"21-H, Reinier Claeszenstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056 WD, Nederland","(52.3727341, 4.8620783)",,,,
92,"compositie, Galileïplantsoen, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 LT, Nederland","(52.3540305, 4.939432)",,,,
93,"2-1, Reinier Claeszenstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056 WJ, Nederland","(52.37128, 4.862507)",,,,
94,"10F, Waterspiegelplein, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 PB, Nederland","(52.384557, 4.8691213)",,,,
95,"Parnassusweg, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1082 LZ, Nederland","(52.335580446876996, 4.868665471810557)",,,,
96,"7-H, Derde Looiersdwarsstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 VD, Nederland","(52.3686487, 4.8794096)",,,,
97,"73-H, Krom Boomssloot, Nieuwmarktbuurt, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 GT, Nederland","(52.3707636, 4.9015289)",,,,
98,"25-3, Olympiaplein, Zuid, Amsterdam, Noord-Holland, Nederland, 1077 CK, Nederland","(52.3490327, 4.8675993)",,,,
99,"81, Noorderstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 TT, Nederland","(52.361172, 4.8946304)",,,,
100,"Tasmanstraat, West, Amsterdam, Noord-Holland, Nederland, 1013 PW, Nederland","(52.39121580192488, 4.884330656388102)",,,,
101,"Nachtwachtlaan, Overtoomse Veld, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1058 EA, Nederland","(52.3597443, 4.843578285262327)",,,,
102,"18, Hortensiastraat, Florabuurt, Noord, Amsterdam, Noord-Holland, Nederland, 1032 CJ, Nederland","(52.3944727, 4.9147993)",,,,
103,"23, Entrepotdok, Kadijken, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 AD, Nederland","(52.3692019, 4.9132037)",,,,
104,"22-1, Cabotstraat, Hoofdweg, West, Amsterdam, Noord-Holland, Nederland, 1057 VR, Nederland","(52.3680978, 4.8543369)",,,,
105,"9-1, Linnaeusparkweg, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 CM, Nederland","(52.3556854, 4.9317699)",,,,
106,"20-1, Rijnsburgstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1059 AV, Nederland","(52.34819, 4.8503785)",,,,
107,"De Otter, 78A, Gillis van Ledenberchstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 VK, Nederland","(52.3761712, 4.8709349)",,,,
108,"Binnen Dommersstraat, Haarlemmerbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 HJ, Nederland","(52.38213295, 4.888079352366615)",,,,
109,"10A, 't Nopeind, Noord, Zunderdorp, Amsterdam, Noord-Holland, Nederland, 1027 AE, Nederland","(52.4101344, 4.9637344)",,,,
110,"43-H, Kanaalstraat, Helmersbuurt, West, Amsterdam, Noord-Holland, Nederland, 1054 WZ, Nederland","(52.3625558, 4.8653266)",,,,
111,"Binnen Dommersstraat, Haarlemmerbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 HJ, Nederland","(52.38213295, 4.888079352366615)",,,,
112,"104-1, Hobbemakade, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 XT, Nederland","(52.350887, 4.8853511)",,,,
113,"Ferdinand Bolstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 MA, Nederland","(52.349141200000005, 4.89212916841676)",,,,
114,"24, Van Slingelandtstraat, West, Amsterdam, Noord-Holland, Nederland, 1051 CH, Nederland","(52.383984, 4.8655441)",,,,
115,"St. Jozef, 370, Kalfjeslaan, Zuid, Amsterdam, Noord-Holland, Nederland, 1081 JA, Nederland","(52.322197, 4.8603147)",,,,
116,"35-4, Da Costastraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 ZA, Nederland","(52.3698013, 4.8737716)",,,,
117,"Massagepraktijk RUST., 23, Pieter Jacobszstraat, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 HL, Nederland","(52.3716879, 4.8948216)",,,,
118,"Vlaams Cultuurhuis de Brakke Grond, Enge Lombardsteeg, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 HN, Nederland","(52.371046050000004, 4.893897131935075)",,,,
119,"33-H, Vondelstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 GJ, Nederland","(52.3619596, 4.8768724)",,,,
120,"27-1, Hogeweg, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 BW, Nederland","(52.3551944, 4.9326557)",,,,
121,"149, Céramiquelaan, Overhoeks, Noord, Amsterdam, Noord-Holland, Nederland, 1031 KG, Nederland","(52.3857931, 4.9022695)",,,,
122,"370, Zuideinde, Oostzanerwerf, Noord, Amsterdam, Noord-Holland, Nederland, 1035 PP, Nederland","(52.4188521, 4.8939597)",,,,
123,"Meester Visserplein, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 VR, Nederland","(52.36788634741881, 4.9034907694600225)",,,,
124,"73-1, Jekerstraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 MB, Nederland","(52.3454677, 4.8961548)",,,,
125,"82, Harry Koningsbergerstraat, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1063 AD, Nederland","(52.3829149, 4.8377966)",,,,
126,"2K, Windrooskade, Wittenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 ZX, Nederland","(52.3736964, 4.925469559406947)",,,,
